ID;SUM
94994;5847
88100;7151
78738;2182
83661;2402
49173;1843
49028;747
21236;6269
54799;7408
59205;2533
41612;2286
14285;728
23438;4182
77564;5695
17561;8443
46798;8716
34035;15000
21236;2007
76776;5228
68633;7060
16213;7414
19981;7149
45271;4088
67454;8888
45785;101
68612;4155
96383;5127
90369;349
94887;2036
56012;8685
21236;4003
11734;8185
82158;6648
19442;4513
86946;6400
92550;1247
44716;3347
30936;2656
39039;3278
90504;7897
11309;6710
21236;6554
75453;234
31690;543
11438;1820
17982;1384
76644;8802
10993;5251
30635;3150
98818;6932
32890;2713
40559;5728
56465;5684
65837;321
93643;1414
64826;7867
33366;2794
71018;1806
48792;8465
26178;4837
86923;6254
61203;5394
68612;1848
27439;1295
89845;6220
32220;3607
68612;5319
26162;4168
12529;1189
81004;6754
43018;1734
80929;5664
70897;3666
80915;7781
81004;7105
11734;4183
12918;5233
47384;75
19848;7938
74936;4578
63160;5180
65303;7118
58318;3312
98224;5238
11576;6119
14291;8786
49496;458
32592;7828
98769;7487
85358;6191
28635;3523
76379;7043
84993;7328
60699;3203
64914;4538
61144;767
84270;1404
47020;7936
84543;1760
68612;2564
48184;7156
70801;2232
24144;3618
99290;2944
26142;4517
33712;7191
38836;8343
90335;3883
80191;8140
27785;3039
49028;2015
45820;1829
42831;2148
42869;2164
93598;4698
41725;1135
45727;5887
93416;7571
24786;2922
68612;5883
35647;2148
87688;2380
11963;7697
82363;293
51566;3737
20122;2407
57207;7135
39632;4443
83436;4264
66776;5105
45556;8030
95446;1938
28831;6616
54512;7580
56727;23654
39765;5073
38392;7360
86914;1054
53138;8168
55364;1848
24805;1561
23796;779
71132;4059
18470;810
62901;6776
56608;3037
18444;6675
17638;5
30399;3816
69030;1781
41167;7812
14893;7623
89789;5539
90641;6817
67738;2892
96232;6980
81910;7143
31641;6638
15786;442
18278;2891
80877;4668
48317;3377
90086;2967
84053;7916
48205;8162
12187;8814
86318;429
81004;4787
11197;640
60581;8170
75845;1683
14966;3534
66956;8291
52770;307
41295;4429
85386;6467
58780;2880
53727;5735
61399;3306
18139;7990
96065;2935
67078;3779
26209;593
65634;648
81004;8419
79879;4713
30626;8292
88041;7985
38914;4353
84483;7072
94951;6158
37348;3268
32038;2866
46941;2086
81004;7416
55915;6000
34565;8275
87144;2677
72188;3080
53805;4445
99813;7093
73217;4020
85670;1090
71038;4426
76550;6978
91564;7851
88442;2717
69296;2198
30664;680
14388;1741
61997;3176
32604;4912
36377;6530
68538;3868
12122;5116
18027;8179
55757;5592
63050;2182
96270;8078
35529;4142
20393;8026
37952;3452
75272;1629
90794;3377
43148;943
23501;7507
78403;5997
46023;4090
21129;1444
67362;7371
62290;7236
21521;5795
73209;8631
16977;4290
19638;3474
15222;4966
96768;5559
15807;2975
33377;7186
88205;7259
18663;7685
85029;7975
15419;8537
41730;3243
84857;55000
56801;3749
86972;7824
75367;6306
71639;4125
51242;2606
89082;2551
36361;1938
38909;5643
66947;1277
17937;2623
27559;2540
42602;5096
33981;7603
19343;932
74930;7902
79020;1117
15807;6183
20735;4308
76004;1897
48559;3277
45371;3347
87116;4025
81004;1664
80132;4301
11673;1806
99383;1731
62940;6457
10424;1746
14200;3645
15807;5270
34140;6103
94087;12
97572;8856
98409;5357
15807;7910
81907;7771
62938;2481
12522;799
82859;1380
84085;5887
81004;2521
41598;1066
15369;5962
14832;4092
81576;879
92420;7414
41609;7214
15807;2193
73150;5834
37764;6438
